,F3 alpha,F3 beta,F4 alpha,F4 beta,C3 alpha,C3 beta,C4 alpha,C4 beta,Fp1 alpha,Fp1 beta,Fp2 alpha,Fp2 beta,O1 gamma,O2 gamma
20,1.2192960441699413e-07,4.7936624310094415e-08,-9.389443942185774e-09,2.8618130241069842e-08,9.81147506882214e-08,1.7612736331301723e-08,-2.6468759724656826e-08,9.010261888353371e-09,4.016826897886231e-10,-1.4036337481843721e-11,3.365817218601975e-09,4.351360423162858e-08,1.3775453176358945e-08,-1.2145921783881965e-08
21,-1.938205727925104e-07,-1.8960337309676242e-08,-1.250999134763453e-07,1.5391120187033226e-08,-4.9721428939786115e-08,-3.626360328814037e-09,-5.300114908291924e-08,1.2172689823111378e-08,1.834604642499473e-09,-6.703191704736461e-10,-8.35207654889141e-08,2.646160253150975e-09,3.225474272607197e-09,-1.004303637214748e-08
22,1.463006570614456e-07,1.2951932689858295e-08,1.4758567499012822e-07,4.114229593646965e-10,1.982392814679907e-08,2.0452867502061814e-08,9.488177499330182e-08,5.900876187589697e-09,-1.927734936942326e-09,-7.101588442911019e-10,9.038398475184669e-08,-1.1202881306366804e-08,2.051793845105199e-09,1.0581642733428124e-08
23,-6.087981489677482e-08,7.035553924911318e-09,-8.290720867748422e-08,-2.6406773647898046e-08,-4.0520031357817456e-08,7.2894311289520875e-09,-3.132133029271741e-08,9.894789102576979e-10,-8.934630089305935e-10,-2.0895443849175464e-10,3.754219716848641e-08,8.249599587706409e-10,1.2141259929970282e-08,5.8528938906945064e-09
24,-1.041420408696062e-08,-3.360798519668094e-08,-8.911953635001138e-08,-1.8278967233405776e-08,-3.622072550542154e-09,-2.6041247858869972e-08,-1.0123449705843555e-07,-7.586894732186075e-08,8.003143914519055e-10,7.938812597932288e-10,-2.025441157120443e-07,-4.7222054022649577e-08,-7.911809366862827e-09,5.994380200737697e-09
25,-6.191935796006054e-09,2.2797259139397835e-08,1.257469613853677e-07,9.264823956586594e-09,3.5506078765955654e-08,3.1696328453196727e-08,7.316698138734044e-08,3.2911071645946295e-08,-2.9354693684771504e-09,-4.850327942060573e-10,8.294987031949347e-08,9.672190903242467e-09,-1.0267858797783706e-09,1.8467169421897476e-08
26,1.5485293353595744e-08,-2.473530834724742e-08,-3.157898206984472e-08,-9.978286180260913e-09,-2.8121547397710652e-08,-5.086147525051826e-08,2.0783875387692525e-08,-7.17279690720916e-09,4.757977397246163e-09,3.105081512657851e-10,1.0578572573502001e-07,2.557083654407472e-08,-5.621028779655037e-09,-1.2137148371963222e-08
27,-4.509265286512742e-09,3.730990439030076e-08,-1.7197842603646153e-07,3.5798510002184476e-08,-8.330986707662124e-09,3.087750038077448e-08,-1.4893879235272947e-07,2.1170590269694102e-08,-2.966886085627649e-09,3.2410108962428877e-10,-1.7296323326550368e-07,5.614365539959553e-09,5.434228240390581e-09,-9.818591110501638e-10
28,9.598628001100278e-08,3.019160813122436e-08,2.9208580594008713e-07,7.01022708393125e-08,6.785476974397678e-09,-2.669593950760589e-09,2.984710319203559e-07,9.891558230748486e-08,7.366879546255684e-10,-7.705110210383774e-10,2.066901303624276e-07,5.036360694388522e-08,7.834436572605642e-09,-4.370122982234348e-09
29,-9.309048017226978e-08,-3.078975282637386e-08,-1.210349026454624e-07,-6.497395303407918e-08,2.3878797934743477e-08,-9.521392345216795e-09,-9.397093867751192e-08,-6.876479520754259e-08,2.550632173125103e-09,8.29839138327813e-10,-1.4843260109942195e-07,-4.044544703992752e-08,-1.2362172241294087e-08,3.3787250538629724e-09
