Unnamed: 0,F3 alpha mean,F3 alpha psd_mean,F3 beta mean,F3 beta psd_mean,F4 alpha mean,F4 alpha psd_mean,F4 beta mean,F4 beta psd_mean,C3 alpha mean,C3 alpha psd_mean,C3 beta mean,C3 beta psd_mean,C4 alpha mean,C4 alpha psd_mean,C4 beta mean,C4 beta psd_mean,Fp1 alpha mean,Fp1 alpha psd_mean,Fp1 beta mean,Fp1 beta psd_mean,Fp2 alpha mean,Fp2 alpha psd_mean,Fp2 beta mean,Fp2 beta psd_mean,O1 gamma mean,O1 gamma psd_mean,O2 gamma mean,O2 gamma psd_mean,task
20,1.290209027987902e-10,8.118472631510593e-17,-4.808482253367029e-11,7.985710372216732e-18,1.2748688662700943e-10,8.016688706807769e-17,-7.312972305608327e-11,8.74441882847141e-18,1.601701318234961e-10,4.078606373631378e-17,-2.689666974218441e-11,2.8610644186144762e-18,5.579326384574469e-11,4.25742255879796e-17,-3.760397000499587e-11,6.6002966969959064e-18,1.5299983520402616e-12,2.780747504674449e-20,-5.224881436998575e-13,5.4954467230725814e-21,1.263106696144708e-10,8.662276046537221e-17,-6.446001732994501e-11,8.892469649772396e-18,3.859778690501766e-11,8.477085564770946e-19,2.4673921844003145e-11,4.667148847612838e-19,med1breath
21,-9.129732239788727e-12,9.642303664041008e-17,1.5966674722980526e-11,7.275030362831841e-18,-3.485538820823786e-12,9.118247703851503e-17,-1.8681764043517424e-12,8.215821214271947e-18,-2.7533917349488136e-11,5.234488113740326e-17,2.287358124304933e-11,2.8906946353876415e-18,6.546326210369732e-11,5.425989758828409e-17,5.404426292275351e-11,5.638552889859972e-18,-9.469475922616987e-12,2.285486589283742e-20,-3.329260239618667e-12,5.595065996723008e-21,-1.5610791516819118e-11,1.1746413610218071e-16,-3.637742127513594e-12,8.482674388328779e-18,-5.919546603671941e-11,9.399362507686033e-19,1.619407338926772e-11,6.815132562655013e-19,med2
22,1.927101764195477e-10,1.0370685405124819e-16,5.477214063901356e-11,1.1109476108882761e-17,2.6146082485873926e-10,9.671905380712751e-17,1.4518569255985372e-11,1.0203476899337777e-17,1.3685506172495638e-10,5.935332677126083e-17,3.1704087958903734e-11,4.390430150578546e-18,1.80725111902688e-10,5.497664902507403e-17,2.5856708529790756e-11,6.7445462852406006e-18,1.2472268239385928e-11,2.4950391977049672e-20,5.374543423958779e-12,5.199381665749015e-21,2.0249968821025639e-10,1.2092057839162544e-16,4.827013771813751e-11,1.1269886640800577e-17,1.5331497765892644e-11,3.411756698155501e-18,-3.4493323239713027e-12,4.1243580726043995e-19,think1
23,2.3878638994891587e-10,7.366664727575265e-17,-2.1919945778424827e-11,4.6740995877278476e-18,2.522805665348141e-10,7.337834844935085e-17,-1.5774117637796548e-11,5.193082695377018e-18,6.374870259617896e-11,3.948133579993384e-17,-3.0024608934310506e-11,2.2906545267403478e-18,2.58117521138499e-10,4.33524580994277e-17,-9.959972102821988e-12,2.8506132708570156e-18,-1.0171156507397668e-11,2.411257809526381e-20,-4.060262345286108e-12,5.9097013293948414e-21,2.4256672935589e-10,9.135767488397844e-17,-2.671606757058397e-11,5.4595338935821104e-18,4.7475491579907637e-11,5.066640102312294e-18,9.35026625027164e-12,4.576233697890736e-19,think2
24,-8.977970213503922e-11,2.9320327165978274e-16,5.666677751905848e-11,1.4717873820367862e-17,1.714952763394649e-11,3.067887242432536e-16,9.908137805343839e-11,1.392879109852782e-17,6.311560974076446e-11,1.5311263502545835e-16,2.139277598749225e-11,9.86057580485247e-18,-7.378813341342866e-11,2.393589707506675e-16,1.990022306196816e-10,1.6860016238214376e-17,8.278728694222265e-12,2.3247593563795944e-20,1.893069236335382e-12,4.968979453527655e-21,2.485121630844058e-10,3.239517724356781e-16,1.2193772164275678e-10,1.3991968423770798e-17,-3.4632149423325686e-11,7.698521133074034e-19,-5.326325391661148e-11,7.66117854639821e-19,med1breath
25,2.3062533473047755e-10,2.5427710848334267e-16,-1.8203388664758572e-10,1.1857943032151165e-17,4.2011143094717925e-11,2.6709360588260914e-16,-1.0992801786696079e-10,1.150488224466921e-17,-1.6774319768555957e-10,1.3462834970346362e-16,-3.055820968809985e-10,8.206730984892181e-18,-9.924742370023456e-11,1.9012174117318627e-16,1.0098912515155029e-10,1.2168457735733925e-17,-1.1675815198779369e-11,2.4392939617451312e-20,-3.3064631002031546e-12,5.323254648046933e-21,-2.573661663972572e-11,2.865932824613509e-16,-1.6645807758002508e-10,1.1633259700076725e-17,-1.4911086611835878e-10,4.9938857072443e-19,-1.4851520010814189e-10,8.914480615824271e-19,med2
26,-4.875521470926207e-10,3.1578212516630873e-16,-3.4166762562930536e-11,2.11225683621421e-17,-6.493509905185678e-10,3.2447391708746283e-16,-2.5832603638218908e-11,2.2745407743279395e-17,-3.9987390494121006e-10,2.0142127701534155e-16,-6.986756879954267e-11,1.521652665435797e-17,-4.1398117616161476e-10,2.258647011061513e-16,5.6485558955292845e-11,2.126968444533967e-17,-1.103797461948731e-11,2.4131285275656963e-20,-1.7971084974710277e-12,5.0861133755825274e-21,-5.875915242005219e-10,3.866801714016704e-16,1.5437883766527468e-11,2.4431486493097744e-17,-2.5470867235897454e-11,1.296661351497877e-18,-1.844653601611008e-11,1.4648356925293164e-18,think1
27,4.2582957302879963e-10,3.108410687648247e-16,-3.61924029698838e-11,1.4961454785783786e-17,5.69359116997145e-10,3.037717310275336e-16,6.34960523296357e-11,1.6396017635496383e-17,5.68398558855647e-10,1.7894288830580998e-16,3.1699619286591807e-12,9.431745469644077e-18,5.145054939282807e-10,2.0466864356828387e-16,1.9979599230751888e-10,1.920328868595583e-17,-1.5264141781523826e-11,1.973811427935136e-20,-2.1212195181709078e-12,4.569200393390945e-21,4.927289902689332e-10,3.4925685406978227e-16,3.4814850391278475e-11,1.768706060207056e-17,8.134915830005106e-11,7.543269867286221e-19,8.132814782002174e-11,8.495397230771226e-19,think2
28,8.755040919646215e-11,2.1102549539167627e-16,1.0060964532499576e-10,6.96917027449695e-18,8.419174963012956e-11,2.155784310507132e-16,8.312063474601791e-11,8.061677350932694e-18,1.991480077358533e-10,1.3091162254493903e-16,8.059675000749649e-11,4.421043766081147e-18,1.5203355411560274e-10,1.0560989455686928e-16,6.829061090587233e-11,6.477792259293231e-18,1.0031346638523628e-11,2.5644446480988892e-20,4.130592492365442e-12,4.765845467253862e-21,-2.6129959263501646e-10,2.291262813302808e-16,-1.4030078937245466e-11,1.2601531121198797e-17,4.6448839308126646e-11,1.7946376819563676e-19,2.884139527594289e-11,2.0561568758846445e-19,med1breath
29,-1.0357695573497412e-10,1.475312765574219e-16,-3.4149597581754784e-12,7.47408555937748e-18,-3.906004572987309e-11,1.5837956940476666e-16,2.3586458659080154e-11,7.89524433033938e-18,-7.420096209742439e-12,8.828599856721506e-17,9.633024114815595e-11,4.541439810373892e-18,8.849459785076986e-11,9.648872659547796e-17,7.406658590071982e-11,6.1582750218272255e-18,-1.5024040849749993e-12,2.029064578210176e-20,6.720326499240902e-13,5.038650676209215e-21,6.079902627970616e-10,1.81611856154614e-16,3.2386356407753647e-10,2.1504278364107054e-17,3.9591820264839056e-11,1.595975574234135e-19,4.457640510707163e-11,2.9360566792292336e-19,med2
